Subject,Method,batch_size,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_max_class_ratio,pred_num_present_classes,batch_index,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes,true_imbalance,dua_momentum,rotta_memory_occupancy,note_memory_occupancy,note_updated,note_loss,delta_loss,delta_used_samples
S2,DELTA,64,,,,,,,,,,,,,,,,,,,,,,1,37,0.578125,27.0,0.421875,0.578125,2,,,,,,,0.27167975902557373,8.0
S2,DELTA,64,,,,,,,,,,,,,,,,,,,,,,2,54,0.84375,10.0,0.15625,0.84375,2,,,,,,,0.15753881633281708,48.0
S2,DELTA,61,,,,,,,,,,,,,,,,,,,,,,3,22,0.36065573770491804,39.0,0.639344262295082,0.639344262295082,2,,,,,,,0.23977138102054596,43.0
S3,DynaMixEMATent,64,0.09876877814531326,0.688866376876831,0.688866376876831,0.5900976061820984,0.5621781555789839,0.23116193135796678,0.20665991306304932,0.2913781052593375,44.08744812011719,0.19999999999999996,1.0,0.5773622989654541,0.2,0.0,1.0,8.0,0.125,56.0,0.875,0.875,2.0,0,50,0.78125,14.0,0.21875,0.78125,2,0.28125,,,,,,,
S3,DynaMixEMATent,64,0.06719177216291428,0.4328676462173462,0.4328676462173462,0.3656758666038513,0.49660094150470174,0.37353876463009444,0.12986029386520384,0.42928596637587335,71.79097747802734,0.19999999999999996,1.0,0.4249105155467987,0.2,0.0,1.0,1.0,0.015625,63.0,0.984375,0.984375,2.0,1,6,0.09375,58.0,0.90625,0.90625,2,0.40625,,,,,,,
S3,DynaMixEMATent,64,0.07265372574329376,0.5391700863838196,0.5391700863838196,0.4665163457393646,0.3653526701673333,0.4728963039175208,0.16175102591514587,0.5641477872773997,106.2978630065918,0.19999999999999996,1.0,0.6228742003440857,0.2,0.0,1.0,7.0,0.109375,57.0,0.890625,0.890625,2.0,2,43,0.671875,21.0,0.328125,0.671875,2,0.171875,,,,,,,
S3,DynaMixEMATent,64,0.07827149331569672,0.43542400002479553,0.43542400002479553,0.3571524918079376,0.3047854167504649,0.5645873832420965,0.13062720000743866,0.6494191942132619,134.1649990081787,0.19999999999999996,1.0,0.5431926250457764,0.2,0.0,1.0,26.0,0.40625,38.0,0.59375,0.59375,2.0,3,36,0.5625,28.0,0.4375,0.5625,2,0.0625,,,,,,,
S3,DynaMixEMATent,11,0.016380207613110542,0.2940891683101654,0.2940891683101654,0.2777089774608612,0.3116728208851377,0.6001004286218127,0.08822675049304962,0.658168496329896,137.39997985959053,0.19999999999999996,1.0,0.6296858191490173,0.2,0.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0,4,11,1.0,,,1.0,1,0.0,,,,,,,
S3,TEMA,64,,,,,,,,,,,,,,,,,,,,,,0,50,0.78125,14.0,0.21875,0.78125,2,,,,,,,,
S3,TEMA,64,,,,,,,,,,,,,,,,,,,,,,1,6,0.09375,58.0,0.90625,0.90625,2,,,,,,,,
S3,TEMA,64,,,,,,,,,,,,,,,,,,,,,,2,43,0.671875,21.0,0.328125,0.671875,2,,,,,,,,
S3,TEMA,64,,,,,,,,,,,,,,,,,,,,,,3,36,0.5625,28.0,0.4375,0.5625,2,,,,,,,,
S3,TEMA,11,,,,,,,,,,,,,,,,,,,,,,4,11,1.0,0.0,0.0,1.0,1,,,,,,,,
S3,DUA,64,,,,,,,,,,,,,,,,,,,,,,0,50,0.78125,14.0,0.21875,0.78125,2,,0.099,,,,,,
S3,DUA,64,,,,,,,,,,,,,,,,,,,,,,1,6,0.09375,58.0,0.90625,0.90625,2,,0.09336,,,,,,
S3,DUA,64,,,,,,,,,,,,,,,,,,,,,,2,43,0.671875,21.0,0.328125,0.671875,2,,0.0880584,,,,,,
S3,DUA,64,,,,,,,,,,,,,,,,,,,,,,3,36,0.5625,28.0,0.4375,0.5625,2,,0.083074896,,,,,,
S3,DUA,11,,,,,,,,,,,,,,,,,,,,,,4,11,1.0,0.0,0.0,1.0,1,,0.07839040223999999,,,,,,
S3,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,0,50,0.78125,14.0,0.21875,0.78125,2,,,55.0,,,,,
S3,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,1,6,0.09375,58.0,0.90625,0.90625,2,,,64.0,,,,,
S3,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,2,43,0.671875,21.0,0.328125,0.671875,2,,,64.0,,,,,
S3,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,3,36,0.5625,28.0,0.4375,0.5625,2,,,64.0,,,,,
S3,RoTTA,11,,,,,,,,,,,,,,,,,,,,,,4,11,1.0,0.0,0.0,1.0,1,,,64.0,,,,,
S3,NOTE,64,,,,,,,,,,,,,,,,,,,,,,0,50,0.78125,14.0,0.21875,0.78125,2,,,,64.0,1.0,0.6161282658576965,,
S3,NOTE,64,,,,,,,,,,,,,,,,,,,,,,1,6,0.09375,58.0,0.90625,0.90625,2,,,,64.0,1.0,0.6006036996841431,,
S3,NOTE,64,,,,,,,,,,,,,,,,,,,,,,2,43,0.671875,21.0,0.328125,0.671875,2,,,,64.0,1.0,0.5823889970779419,,
S3,NOTE,64,,,,,,,,,,,,,,,,,,,,,,3,36,0.5625,28.0,0.4375,0.5625,2,,,,64.0,1.0,0.630716860294342,,
S3,NOTE,11,,,,,,,,,,,,,,,,,,,,,,4,11,1.0,0.0,0.0,1.0,1,,,,64.0,0.0,,,
S3,DELTA,64,,,,,,,,,,,,,,,,,,,,,,0,50,0.78125,14.0,0.21875,0.78125,2,,,,,,,0.19210600852966309,3.0
S3,DELTA,64,,,,,,,,,,,,,,,,,,,,,,1,6,0.09375,58.0,0.90625,0.90625,2,,,,,,,0.12709558010101318,53.0
S3,DELTA,64,,,,,,,,,,,,,,,,,,,,,,2,43,0.671875,21.0,0.328125,0.671875,2,,,,,,,0.23714275658130646,11.0
S3,DELTA,64,,,,,,,,,,,,,,,,,,,,,,3,36,0.5625,28.0,0.4375,0.5625,2,,,,,,,0.21368956565856934,26.0
S3,DELTA,11,,,,,,,,,,,,,,,,,,,,,,4,11,1.0,0.0,0.0,1.0,1,,,,,,,0.17565195262432098,1.0
S4,DynaMixEMATent,64,0.26092833280563354,0.969338595867157,0.969338595867157,0.7084102630615234,0.43679590533332263,0.27240251590653036,0.29080157876014706,0.3840991572292334,62.03767013549805,0.19999999999999996,1.0,0.5544223189353943,0.2,0.0,1.0,5.0,0.078125,59.0,0.921875,0.921875,2.0,0,35,0.546875,29.0,0.453125,0.546875,2,0.046875,,,,,,,
S4,DynaMixEMATent,64,0.14594443142414093,0.710731029510498,0.710731029510498,0.5647866129875183,0.339649679674474,0.44713101147237655,0.2132193088531494,0.568304505313439,107.52445602416992,0.19999999999999996,1.0,0.5582258701324463,0.2,0.0,1.0,12.0,0.1875,52.0,0.8125,0.8125,2.0,1,20,0.3125,44.0,0.6875,0.6875,2,0.1875,,,,,,,
S4,DynaMixEMATent,64,0.030746111646294594,0.5281861424446106,0.5281861424446106,0.49744004011154175,0.2789717724847407,0.5625723847818761,0.15845584273338317,0.6685001374249251,141.328369140625,0.19999999999999996,1.0,0.6329013109207153,0.2,0.0,1.0,36.0,0.5625,28.0,0.4375,0.5625,2.0,2,35,0.546875,29.0,0.453125,0.546875,2,0.046875,,,,,,,
S4,DynaMixEMATent,64,0.29429516196250916,0.9233231544494629,0.9233231544494629,0.6290280222892761,0.1510519752612237,0.5719510784039374,0.27699694633483884,0.7910769885472998,200.42105102539062,0.19999999999999996,1.0,0.4993818700313568,0.2,0.0,1.0,30.0,0.46875,34.0,0.53125,0.53125,2.0,3,10,0.15625,54.0,0.84375,0.84375,2,0.34375,,,,,,,
S4,DynaMixEMATent,11,0.17251244187355042,0.9974135756492615,0.9974135756492615,0.8249011039733887,0.1343815979140839,0.5663943293911378,0.2992240726947784,0.8082388497121502,211.3926003575325,0.19999999999999996,1.0,0.5447431802749634,0.2,0.0,1.0,10.0,0.9090909090909091,1.0,0.09090909090909091,0.9090909090909091,2.0,4,0,0.0,11.0,1.0,1.0,1,0.5,,,,,,,
S4,TEMA,64,,,,,,,,,,,,,,,,,,,,,,0,35,0.546875,29.0,0.453125,0.546875,2,,,,,,,,
S4,TEMA,64,,,,,,,,,,,,,,,,,,,,,,1,20,0.3125,44.0,0.6875,0.6875,2,,,,,,,,
S4,TEMA,64,,,,,,,,,,,,,,,,,,,,,,2,35,0.546875,29.0,0.453125,0.546875,2,,,,,,,,
S4,TEMA,64,,,,,,,,,,,,,,,,,,,,,,3,10,0.15625,54.0,0.84375,0.84375,2,,,,,,,,
S4,TEMA,11,,,,,,,,,,,,,,,,,,,,,,4,0,0.0,11.0,1.0,1.0,1,,,,,,,,
S4,DUA,64,,,,,,,,,,,,,,,,,,,,,,0,35,0.546875,29.0,0.453125,0.546875,2,,0.099,,,,,,
S4,DUA,64,,,,,,,,,,,,,,,,,,,,,,1,20,0.3125,44.0,0.6875,0.6875,2,,0.09336,,,,,,
S4,DUA,64,,,,,,,,,,,,,,,,,,,,,,2,35,0.546875,29.0,0.453125,0.546875,2,,0.0880584,,,,,,
S4,DUA,64,,,,,,,,,,,,,,,,,,,,,,3,10,0.15625,54.0,0.84375,0.84375,2,,0.083074896,,,,,,
S4,DUA,11,,,,,,,,,,,,,,,,,,,,,,4,0,0.0,11.0,1.0,1.0,1,,0.07839040223999999,,,,,,
S4,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,0,35,0.546875,29.0,0.453125,0.546875,2,,,60.0,,,,,
S4,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,1,20,0.3125,44.0,0.6875,0.6875,2,,,64.0,,,,,
S4,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,2,35,0.546875,29.0,0.453125,0.546875,2,,,64.0,,,,,
S4,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,3,10,0.15625,54.0,0.84375,0.84375,2,,,64.0,,,,,
S4,RoTTA,11,,,,,,,,,,,,,,,,,,,,,,4,0,0.0,11.0,1.0,1.0,1,,,64.0,,,,,
S4,NOTE,64,,,,,,,,,,,,,,,,,,,,,,0,35,0.546875,29.0,0.453125,0.546875,2,,,,64.0,1.0,0.6060925126075745,,
S4,NOTE,64,,,,,,,,,,,,,,,,,,,,,,1,20,0.3125,44.0,0.6875,0.6875,2,,,,64.0,1.0,0.5460209250450134,,
S4,NOTE,64,,,,,,,,,,,,,,,,,,,,,,2,35,0.546875,29.0,0.453125,0.546875,2,,,,64.0,1.0,0.5681692361831665,,
S4,NOTE,64,,,,,,,,,,,,,,,,,,,,,,3,10,0.15625,54.0,0.84375,0.84375,2,,,,64.0,1.0,0.5396140217781067,,
S4,NOTE,11,,,,,,,,,,,,,,,,,,,,,,4,0,0.0,11.0,1.0,1.0,1,,,,64.0,0.0,,,
S4,DELTA,64,,,,,,,,,,,,,,,,,,,,,,0,35,0.546875,29.0,0.453125,0.546875,2,,,,,,,0.3102445602416992,1.0
S4,DELTA,64,,,,,,,,,,,,,,,,,,,,,,1,20,0.3125,44.0,0.6875,0.6875,2,,,,,,,0.19935868680477142,12.0
S4,DELTA,64,,,,,,,,,,,,,,,,,,,,,,2,35,0.546875,29.0,0.453125,0.546875,2,,,,,,,0.1140410378575325,34.0
S4,DELTA,64,,,,,,,,,,,,,,,,,,,,,,3,10,0.15625,54.0,0.84375,0.84375,2,,,,,,,0.10617087781429291,45.0
S4,DELTA,11,,,,,,,,,,,,,,,,,,,,,,4,0,0.0,11.0,1.0,1.0,1,,,,,,,0.3133384585380554,1.0
S5,DynaMixEMATent,64,0.1497814953327179,0.8246254324913025,0.8246254324913025,0.6748439073562622,0.4983175869023734,0.2542947833502359,0.24738762974739073,0.3378828111274381,52.77602767944336,0.19999999999999996,1.0,0.6001181602478027,0.2,0.0,1.0,55.0,0.859375,9.0,0.140625,0.859375,2.0,0,37,0.578125,27.0,0.421875,0.578125,2,0.078125,,,,,,,
S5,DynaMixEMATent,64,0.27886396646499634,0.9999693036079407,0.9999693036079407,0.7211053371429443,0.28112407572559434,0.4188851331920234,0.2999907910823822,0.5983994608295516,116.77406311035156,0.19999999999999996,1.0,0.5153549909591675,0.2,0.0,1.0,35.0,0.546875,29.0,0.453125,0.546875,2.0,1,33,0.515625,31.0,0.484375,0.515625,2,0.015625,,,,,,,
S5,DynaMixEMATent,64,0.33232104778289795,0.9825482368469238,0.9825482368469238,0.6502271890640259,0.17328893470382534,0.5319465942420976,0.29476447105407716,0.754282182914365,179.6571502685547,0.19999999999999996,1.0,0.6067131757736206,0.2,0.0,1.0,35.0,0.546875,29.0,0.453125,0.546875,2.0,2,24,0.375,40.0,0.625,0.625,2,0.125,,,,,,,
S5,DynaMixEMATent,64,0.15176832675933838,0.9908061623573303,0.9908061623573303,0.8390378355979919,0.10521840539255897,0.597539745900242,0.2972418487071991,0.8502779296134835,243.06874465942383,0.19999999999999996,1.0,0.586348295211792,0.2,0.0,1.0,37.0,0.578125,27.0,0.421875,0.578125,2.0,3,36,0.5625,28.0,0.4375,0.5625,2,0.0625,,,,,,,
S5,DynaMixEMATent,38,0.13701410591602325,0.9641445279121399,0.9641445279121399,0.8271304368972778,0.07992791137695399,0.630828730249404,0.28924335837364196,0.8875453190362563,279.70623672008514,0.19999999999999996,1.0,0.5782245397567749,0.2,0.0,1.0,24.0,0.631578947368421,14.0,0.3684210526315789,0.631578947368421,2.0,4,11,0.2894736842105263,27.0,0.7105263157894737,0.7105263157894737,2,0.21052631578947367,,,,,,,
S5,TEMA,64,,,,,,,,,,,,,,,,,,,,,,0,37,0.578125,27.0,0.421875,0.578125,2,,,,,,,,
S5,TEMA,64,,,,,,,,,,,,,,,,,,,,,,1,33,0.515625,31.0,0.484375,0.515625,2,,,,,,,,
S5,TEMA,64,,,,,,,,,,,,,,,,,,,,,,2,24,0.375,40.0,0.625,0.625,2,,,,,,,,
S5,TEMA,64,,,,,,,,,,,,,,,,,,,,,,3,36,0.5625,28.0,0.4375,0.5625,2,,,,,,,,
S5,TEMA,38,,,,,,,,,,,,,,,,,,,,,,4,11,0.2894736842105263,27.0,0.7105263157894737,0.7105263157894737,2,,,,,,,,
S5,DUA,64,,,,,,,,,,,,,,,,,,,,,,0,37,0.578125,27.0,0.421875,0.578125,2,,0.099,,,,,,
S5,DUA,64,,,,,,,,,,,,,,,,,,,,,,1,33,0.515625,31.0,0.484375,0.515625,2,,0.09336,,,,,,
S5,DUA,64,,,,,,,,,,,,,,,,,,,,,,2,24,0.375,40.0,0.625,0.625,2,,0.0880584,,,,,,
S5,DUA,64,,,,,,,,,,,,,,,,,,,,,,3,36,0.5625,28.0,0.4375,0.5625,2,,0.083074896,,,,,,
S5,DUA,38,,,,,,,,,,,,,,,,,,,,,,4,11,0.2894736842105263,27.0,0.7105263157894737,0.7105263157894737,2,,0.07839040223999999,,,,,,
S5,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,0,37,0.578125,27.0,0.421875,0.578125,2,,,58.0,,,,,
S5,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,1,33,0.515625,31.0,0.484375,0.515625,2,,,64.0,,,,,
S5,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,2,24,0.375,40.0,0.625,0.625,2,,,64.0,,,,,
S5,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,3,36,0.5625,28.0,0.4375,0.5625,2,,,64.0,,,,,
S5,RoTTA,38,,,,,,,,,,,,,,,,,,,,,,4,11,0.2894736842105263,27.0,0.7105263157894737,0.7105263157894737,2,,,64.0,,,,,
S5,NOTE,64,,,,,,,,,,,,,,,,,,,,,,0,37,0.578125,27.0,0.421875,0.578125,2,,,,64.0,1.0,0.5909947156906128,,
S5,NOTE,64,,,,,,,,,,,,,,,,,,,,,,1,33,0.515625,31.0,0.484375,0.515625,2,,,,64.0,1.0,0.5219137668609619,,
S5,NOTE,64,,,,,,,,,,,,,,,,,,,,,,2,24,0.375,40.0,0.625,0.625,2,,,,64.0,1.0,0.6041292548179626,,
