Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_class_2_count,pred_class_2_ratio,pred_max_class_ratio,pred_num_present_classes,true_imbalance
S10,MIGateAwareRelaxed,,,,,,,,,,2,64,64,1.0,0,0.0,0,0.0,1.0,1,0.08105674386024475,0.3562341946868104,0.9670611023902893,0.8860043883323669,0.39312974159395686,0.5,0.10687025840604311,,0.0,0.07124683893736206,1.0,0.9690426588058472,0.0,1.0,0.0,15.0,0.234375,49.0,0.765625,0.0,0.0,0.765625,2.0,0.6666666666666667
S10,MIGateAwareRelaxed,,,,,,,,,,3,64,44,0.6875,0,0.0,20,0.3125,0.6875,2,0.30824553966522217,0.5996787839490786,0.9405854940414429,0.6323399543762207,0.3200963648152764,0.5,0.17990363518472358,,0.0,0.11993575678981569,1.0,0.6299923658370972,0.0,1.0,0.0,3.0,0.046875,41.0,0.640625,20.0,0.3125,0.640625,3.0,0.3541666666666667
S10,MIGateAwareRelaxed,,,,,,,,,,4,64,0,0.0,9,0.140625,55,0.859375,0.859375,2,0.08276896178722382,0.35892635834856845,0.4452993869781494,0.3625304102897644,0.3923220924954295,0.5,0.10767790750457053,,0.0,0.07178527166971367,1.0,0.22564491629600525,0.0,1.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,1.0,1.0,0.5260416666666667
S10,MIGateAwareRelaxed,,,,,,,,,,5,64,0,0.0,64,1.0,0,0.0,1.0,1,0.06419922411441803,0.3280380922843344,0.6394720077514648,0.575272798538208,0.4015885723146997,0.5,0.09841142768530031,,0.0,0.06560761845686687,1.0,0.616586446762085,0.0,1.0,0.0,0.0,0.0,11.0,0.171875,53.0,0.828125,0.828125,2.0,0.6666666666666667
S10,MIGateAwareRelaxed,,,,,,,,,,6,64,0,0.0,64,1.0,0,0.0,1.0,1,0.042954687029123306,0.2865296129133117,0.6152417063713074,0.5722870230674744,0.41404111612600647,0.5,0.0859588838739935,,0.0,0.05730592258266232,1.0,0.6692813634872437,0.0,1.0,0.0,0.0,0.0,18.0,0.28125,46.0,0.71875,0.71875,2.0,0.6666666666666667
S10,MIGateAwareRelaxed,,,,,,,,,,7,8,0,0.0,8,1.0,0,0.0,1.0,1,0.028930552303791046,0.2530808523822321,0.6211981773376465,0.592267632484436,0.42407574428533035,0.5,0.07592425571466963,,0.0,0.05061617047644641,1.0,0.6768316030502319,0.0,1.0,0.0,0.0,0.0,2.0,0.25,6.0,0.75,0.75,2.0,0.6666666666666667
S10,MIDynamicFixedEMARelaxed,,,,,,,,,,0,64,64,1.0,0,0.0,0,0.0,1.0,1,0.09154055267572403,0.37230102399244935,0.3260748088359833,0.23453424870967865,0.7065225630151958,0.1445570273878245,0.14892040959697975,0.16985136175028115,23.82726553551676,0.19999999999999996,1.0,0.2262086123228073,0.0,0.0,1.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666667
S10,MIDynamicFixedEMARelaxed,,,,,,,,,,1,64,64,1.0,0,0.0,0,0.0,1.0,1,0.10960659384727478,0.3979619791454819,0.9370870590209961,0.8274804353713989,0.5720580119741417,0.26875719636766543,0.15918479165819277,0.3196388382385331,49.2968322008276,0.19999999999999996,1.0,0.9544788599014282,0.0,0.0,1.0,31.0,0.484375,31.0,0.484375,2.0,0.03125,0.484375,3.0,0.6666666666666667
S10,MIDynamicFixedEMARelaxed,,,,,,,,,,2,64,64,1.0,0,0.0,0,0.0,1.0,1,0.08105739206075668,0.356235219220959,0.9670466780662537,0.8859893083572388,0.48822626816221637,0.36927964414940007,0.14249408768838362,0.43064384612103335,72.09588623096897,0.19999999999999996,1.0,0.9459219574928284,0.0,0.0,1.0,7.0,0.109375,55.0,0.859375,2.0,0.03125,0.859375,3.0,0.6666666666666667
S10,MIDynamicFixedEMARelaxed,,,,,,,,,,3,64,44,0.6875,0,0.0,20,0.3125,0.6875,2,0.30823904275894165,0.5996735180442754,0.9404536485671997,0.6322146058082581,0.32066737820368274,0.43946321457860715,0.23986940721771016,0.5781417282128447,110.4749913858026,0.19999999999999996,1.0,0.5910382270812988,0.0,0.0,1.0,0.0,0.0,44.0,0.6875,20.0,0.3125,0.6875,2.0,0.3541666666666667
