Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_max_class_ratio,pred_num_present_classes,true_imbalance
S5,EMATent,0.8246254324913025,0.8246254324913025,0.778480589389801,1.0,0.25261237025260924,0.5,0.24738762974739073,0.0,0.0,0,64,37,0.578125,27.0,0.421875,0.578125,2,,,,,,,,,,,,,,,,,,,,,,
S5,EMATent,0.9869117140769958,0.9869117140769958,0.7603403925895691,1.0,0.20392648577690126,0.5,0.29607351422309874,0.0,0.0,1,64,33,0.515625,31.0,0.484375,0.515625,2,,,,,,,,,,,,,,,,,,,,,,
S5,EMATent,0.9892491698265076,0.9892491698265076,0.7697243690490723,1.0,0.20322524905204775,0.5,0.29677475094795225,0.0,0.0,2,64,24,0.375,40.0,0.625,0.625,2,,,,,,,,,,,,,,,,,,,,,,
S5,EMATent,0.9937434196472168,0.9937434196472168,0.6578773856163025,1.0,0.20187697410583497,0.5,0.298123025894165,0.0,0.0,3,64,36,0.5625,28.0,0.4375,0.5625,2,,,,,,,,,,,,,,,,,,,,,,
S5,EMATent,0.9748944640159607,0.9748944640159607,0.6223530769348145,1.0,0.2075316607952118,0.5,0.2924683392047882,0.0,0.0,4,38,11,0.2894736842105263,27.0,0.7105263157894737,0.7105263157894737,2,,,,,,,,,,,,,,,,,,,,,,
S5,DynaMixEMATent,,,,,,,,,,0,64,37,0.578125,27.0,0.421875,0.578125,2,0.1497814953327179,0.8246254324913025,0.8246254324913025,0.6748439073562622,0.4983175869023734,0.2542947833502359,0.24738762974739073,0.3378828111274381,52.77602767944336,0.19999999999999996,1.0,0.6001181602478027,0.2,0.0,1.0,55.0,0.859375,9.0,0.140625,0.859375,2.0,0.078125
S5,DynaMixEMATent,,,,,,,,,,1,64,33,0.515625,31.0,0.484375,0.515625,2,0.27886396646499634,0.9999693036079407,0.9999693036079407,0.7211053371429443,0.28112407572559434,0.4188851331920234,0.2999907910823822,0.5983994608295516,116.77406311035156,0.19999999999999996,1.0,0.5153549909591675,0.2,0.0,1.0,35.0,0.546875,29.0,0.453125,0.546875,2.0,0.015625
S5,DynaMixEMATent,,,,,,,,,,2,64,24,0.375,40.0,0.625,0.625,2,0.33232104778289795,0.9825482368469238,0.9825482368469238,0.6502271890640259,0.17328893470382534,0.5319465942420976,0.29476447105407716,0.754282182914365,179.6571502685547,0.19999999999999996,1.0,0.6067131757736206,0.2,0.0,1.0,35.0,0.546875,29.0,0.453125,0.546875,2.0,0.125
S5,DynaMixEMATent,,,,,,,,,,3,64,36,0.5625,28.0,0.4375,0.5625,2,0.15176832675933838,0.9908061623573303,0.9908061623573303,0.8390378355979919,0.10521840539255897,0.597539745900242,0.2972418487071991,0.8502779296134835,243.06874465942383,0.19999999999999996,1.0,0.586348295211792,0.2,0.0,1.0,37.0,0.578125,27.0,0.421875,0.578125,2.0,0.0625
S5,DynaMixEMATent,,,,,,,,,,4,38,11,0.2894736842105263,27.0,0.7105263157894737,0.7105263157894737,2,0.13701410591602325,0.9641445279121399,0.9641445279121399,0.8271304368972778,0.07992791137695399,0.630828730249404,0.28924335837364196,0.8875453190362563,279.70623672008514,0.19999999999999996,1.0,0.5782245397567749,0.2,0.0,1.0,24.0,0.631578947368421,14.0,0.3684210526315789,0.631578947368421,2.0,0.21052631578947367
