Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes
S3,EMATentProbe100,0.661339282989502,0.661339282989502,0.9268652200698853,1,0.30159821510314944,0.5,0.1984017848968506,1.0,0.0,0,64,37,0.578125,16,0.25,11,0.171875,0.578125,3
S3,EMATentProbe100,0.738518238067627,0.738518238067627,0.916547954082489,1,0.2784445285797119,0.5,0.22155547142028809,1.0,0.0,1,64,32,0.5,22,0.34375,10,0.15625,0.5,3
S3,EMATentProbe100,0.7528215646743774,0.7528215646743774,0.9064958691596985,1,0.27415353059768677,0.5,0.22584646940231323,1.0,0.0,2,64,32,0.5,21,0.328125,11,0.171875,0.5,3
S3,EMATentProbe100,0.823768675327301,0.823768675327301,0.9114261865615845,1,0.2528693974018097,0.5,0.2471306025981903,1.0,0.0,3,64,34,0.53125,21,0.328125,9,0.140625,0.53125,3
S3,EMATentProbe100,0.7911924123764038,0.7911924123764038,0.925675094127655,1,0.26264227628707887,0.5,0.23735772371292113,1.0,0.0,4,64,31,0.484375,22,0.34375,11,0.171875,0.484375,3
S3,EMATentProbe100,0.8061323761940002,0.8061323761940002,0.9273453950881958,1,0.25816028714179995,0.5,0.24183971285820005,1.0,0.0,5,64,38,0.59375,13,0.203125,13,0.203125,0.59375,3
S3,EMATentProbe100,0.8377605676651001,0.8377605676651001,0.9258682727813721,1,0.24867182970046997,0.5,0.25132817029953003,1.0,0.0,6,47,24,0.5106382978723404,13,0.2765957446808511,10,0.2127659574468085,0.5106382978723404,3
S3,EMATentMinGate025,0.4866589307785034,0.6149941980838776,0.9399929642677307,1,0.3155017405748367,0.5,0.18449825942516326,0.0,0.25,0,64,37,0.578125,16,0.25,11,0.171875,0.578125,3
S3,EMATentMinGate025,0.6232404708862305,0.7174303531646729,0.8937897086143494,1,0.28477089405059813,0.5,0.21522910594940184,0.0,0.25,1,64,32,0.5,22,0.34375,10,0.15625,0.5,3
S3,EMATentMinGate025,0.5817198157310486,0.6862898617982864,0.9097845554351807,1,0.2941130414605141,0.5,0.20588695853948594,0.0,0.25,2,64,32,0.5,21,0.328125,11,0.171875,0.5,3
S3,EMATentMinGate025,0.6528079509735107,0.7396059632301331,0.9175695180892944,1,0.27811821103096007,0.5,0.2218817889690399,0.0,0.25,3,64,34,0.53125,21,0.328125,9,0.140625,0.53125,3
S3,EMATentMinGate025,0.67133629322052,0.75350221991539,0.8892801403999329,1,0.273949334025383,0.5,0.22605066597461698,0.0,0.25,4,64,31,0.484375,22,0.34375,11,0.171875,0.484375,3
S3,EMATentMinGate025,0.658444344997406,0.7438332587480545,0.916502058506012,1,0.27685002237558365,0.5,0.22314997762441635,0.0,0.25,5,64,38,0.59375,13,0.203125,13,0.203125,0.59375,3
S3,EMATentMinGate025,0.6954303979873657,0.7715727984905243,0.9098910689353943,1,0.2685281604528427,0.5,0.23147183954715728,0.0,0.25,6,47,24,0.5106382978723404,13,0.2765957446808511,10,0.2127659574468085,0.5106382978723404,3
