Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_max_class_ratio,true_num_present_classes,true_class_1_count,true_class_1_ratio
S14,EMATent,0.0013373817782849073,0.0013373817782849073,0.9999101758003235,0,0.49959878546651454,0.5,0.0004012145334854722,0.0,0.0,9,27,27,1.0,1.0,1,,
S15,EMATent,0.008798145689070225,0.008798145689070225,0.9992566108703613,0,0.4973605562932789,0.5,0.0026394437067210675,0.0,0.0,0,64,64,1.0,1.0,1,,
S15,EMATent,0.06166580319404602,0.06166580319404602,0.9927904605865479,0,0.48150025904178617,0.5,0.018499740958213804,0.0,0.0,1,64,64,1.0,1.0,1,,
S15,EMATent,0.2165365368127823,0.2165365368127823,0.9751749634742737,1,0.4350390389561653,0.5,0.06496096104383468,0.0,0.0,2,64,64,1.0,1.0,1,,
S15,EMATent,0.6276114583015442,0.6276114583015442,0.9515455961227417,1,0.3117165625095367,0.5,0.18828343749046325,0.0,0.0,3,64,64,1.0,1.0,1,,
S15,EMATent,0.6258280873298645,0.6258280873298645,0.9995545148849487,1,0.3122515738010406,0.5,0.18774842619895935,0.0,0.0,4,64,64,1.0,1.0,1,,
S15,EMATent,0.003465432906523347,0.003465432906523347,0.999740481376648,0,0.498960370128043,0.5,0.001039629871957004,0.0,0.0,5,64,64,1.0,1.0,1,,
S15,EMATent,0.9981836080551147,0.9981836080551147,0.8102088570594788,1,0.2005449175834656,0.5,0.2994550824165344,0.0,0.0,6,64,6,0.09375,0.90625,2,58.0,0.90625
S15,EMATent,0.6924228072166443,0.6924228072166443,0.9375025033950806,1,0.29227315783500674,0.5,0.2077268421649933,0.0,0.0,7,64,0,0.0,1.0,1,64.0,1.0
S15,EMATent,0.9809253811836243,0.9809253811836243,0.9815808534622192,1,0.20572238564491274,0.5,0.29427761435508726,0.0,0.0,8,64,49,0.765625,0.765625,2,15.0,0.234375
S15,EMATent,0.07539192587137222,0.07539192587137222,0.9908074140548706,0,0.47738242223858834,0.5,0.022617577761411666,0.0,0.0,9,30,30,1.0,1.0,1,,
S16,EMATent,0.006329996045678854,0.006329996045678854,0.9994884729385376,0,0.49810100118629635,0.5,0.0018989988137036562,0.0,0.0,0,64,64,1.0,1.0,1,,
S16,EMATent,0.00748972874134779,0.00748972874134779,0.9993810057640076,0,0.49775308137759566,0.5,0.002246918622404337,0.0,0.0,1,64,64,1.0,1.0,1,,
S16,EMATent,0.011719311587512493,0.011719311587512493,0.9989686608314514,0,0.49648420652374625,0.5,0.003515793476253748,0.0,0.0,2,64,64,1.0,1.0,1,,
S16,EMATent,0.9163923263549805,0.9163923263549805,0.9810584783554077,1,0.22508230209350588,0.5,0.2749176979064941,0.0,0.0,3,64,44,0.6875,0.6875,2,20.0,0.3125
S16,EMATent,9.384150871483143e-06,9.384150871483143e-06,0.9999996423721313,0,0.49999718475473853,0.5,2.815245261444943e-06,0.0,0.0,4,64,0,0.0,1.0,1,64.0,1.0
S16,EMATent,0.035040657967329025,0.035040657967329025,0.9963219165802002,0,0.4894878026098013,0.5,0.010512197390198708,0.0,0.0,5,64,14,0.21875,0.78125,2,50.0,0.78125
S16,EMATent,0.004125857725739479,0.004125857725739479,0.9996843338012695,0,0.49876224268227815,0.5,0.0012377573177218438,0.0,0.0,6,64,64,1.0,1.0,1,,
S16,EMATent,0.0005772945587523282,0.0005772945587523282,0.9999644160270691,0,0.4998268116323743,0.5,0.00017318836762569845,0.0,0.0,7,64,64,1.0,1.0,1,,
S16,EMATent,0.8005682229995728,0.8005682229995728,0.9768472909927368,1,0.2598295331001282,0.5,0.24017046689987182,0.0,0.0,8,64,64,1.0,1.0,1,,
S16,EMATent,0.7675811052322388,0.7675811052322388,0.9521666765213013,1,0.26972566843032836,0.5,0.23027433156967161,0.0,0.0,9,26,26,1.0,1.0,1,,
S17,EMATent,0.0006743142730556428,0.0006743142730556428,0.999957799911499,0,0.4997977057180833,0.5,0.00020229428191669284,0.0,0.0,0,64,64,1.0,1.0,1,,
S17,EMATent,0.002057295525446534,0.002057295525446534,0.9998550415039062,0,0.49938281134236606,0.5,0.0006171886576339603,0.0,0.0,1,64,64,1.0,1.0,1,,
S17,EMATent,0.12614309787750244,0.12614309787750244,0.9941554069519043,0,0.46215707063674927,0.5,0.03784292936325073,0.0,0.0,2,64,64,1.0,1.0,1,,
S17,EMATent,0.7325546145439148,0.7325546145439148,0.9601801633834839,1,0.2802336156368256,0.5,0.21976638436317444,0.0,0.0,3,64,64,1.0,1.0,1,,
S17,EMATent,0.12285041809082031,0.12285041809082031,0.9832382798194885,0,0.4631448745727539,0.5,0.036855125427246095,0.0,0.0,4,64,64,1.0,1.0,1,,
S17,EMATent,0.6770853400230408,0.6770853400230408,0.9297333359718323,1,0.2968743979930878,0.5,0.20312560200691224,0.0,0.0,5,64,58,0.90625,0.90625,2,6.0,0.09375
S17,EMATent,0.009505826979875565,0.009505826979875565,0.9991881847381592,0,0.49714825190603734,0.5,0.002851748093962669,0.0,0.0,6,64,0,0.0,1.0,1,64.0,1.0
S17,EMATent,0.023903578519821167,0.023903578519821167,0.9976506233215332,0,0.4928289264440536,0.5,0.00717107355594635,0.0,0.0,7,64,0,0.0,1.0,1,64.0,1.0
S17,EMATent,0.7671490907669067,0.7671490907669067,0.9663331508636475,1,0.269855272769928,0.5,0.230144727230072,0.0,0.0,8,64,53,0.828125,0.828125,2,11.0,0.171875
S17,EMATent,0.7255926728248596,0.7255926728248596,0.8631390929222107,1,0.2823221981525421,0.5,0.21767780184745789,0.0,0.0,9,26,26,1.0,1.0,1,,
S2,EMATent,0.20498326420783997,0.20498326420783997,0.9679054617881775,1,0.438505020737648,0.5,0.061494979262351986,0.0,0.0,0,64,64,1.0,1.0,1,,
S2,EMATent,0.2474072277545929,0.2474072277545929,0.9719704389572144,1,0.42577783167362215,0.5,0.07422216832637786,0.0,0.0,1,64,64,1.0,1.0,1,,
S2,EMATent,0.08719369024038315,0.08719369024038315,0.9890244007110596,0,0.47384189292788503,0.5,0.026158107072114942,0.0,0.0,2,64,64,1.0,1.0,1,,
S2,EMATent,0.14939187467098236,0.14939187467098236,0.9940276145935059,0,0.4551824375987053,0.5,0.044817562401294704,0.0,0.0,3,64,37,0.578125,0.578125,2,27.0,0.421875
S2,EMATent,0.021830150857567787,0.021830150857567787,0.9978861212730408,0,0.49345095474272965,0.5,0.006549045257270336,0.0,0.0,4,64,0,0.0,1.0,1,64.0,1.0
S2,EMATent,0.11743546277284622,0.11743546277284622,0.9841537475585938,0,0.46476936116814616,0.5,0.035230638831853865,0.0,0.0,5,64,32,0.5,0.5,2,32.0,0.5
S2,EMATent,0.0015555968275293708,0.0015555968275293708,0.9998937845230103,0,0.4995333209517412,0.5,0.00046667904825881124,0.0,0.0,6,64,64,1.0,1.0,1,,
