Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_class_2_count,pred_class_2_ratio,pred_max_class_ratio,pred_num_present_classes,true_imbalance
S13,EMATent,0.5711360573768616,0.5711360573768616,0.9263198375701904,1.0,0.3286591827869415,0.5,0.17134081721305847,0.0,0.0,5,64,0,0.0,64,1.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
S13,EMATent,0.5922224521636963,0.5922224521636963,0.806748628616333,1.0,0.3223332643508911,0.5,0.17766673564910887,0.0,0.0,6,61,0,0.0,61,1.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
S13,DynaMixEMATent,,,,,,,,,,0,64,64,1.0,0,0.0,0,0.0,1.0,1,0.031070267781615257,0.11999023705720901,0.11999023705720901,0.08891996741294861,0.9078682004150295,0.05613472846780784,0.0359970711171627,0.05823086920789877,7.679375171661377,0.19999999999999996,0.0,0.11471888422966003,0.2,0.0,1.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666667
S13,DynaMixEMATent,,,,,,,,,,1,64,64,1.0,0,0.0,0,0.0,1.0,1,0.003628504229709506,0.030780071392655373,0.030780071392655373,0.027151567861437798,0.9188227264909349,0.07194325209126855,0.009234021417796612,0.0726137691912071,9.64929974079132,0.19999999999999996,0.0,0.03096180222928524,0.2,0.0,1.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666667
S13,DynaMixEMATent,,,,,,,,,,2,64,64,1.0,0,0.0,0,0.0,1.0,1,0.034362390637397766,0.08426772803068161,0.08426772803068161,0.049905337393283844,0.8666462742551682,0.10807340733562729,0.025280318409204482,0.11087639798064364,15.042434334754944,0.19999999999999996,0.0,0.08984013646841049,0.2,0.0,1.0,61.0,0.953125,0.0,0.0,3.0,0.046875,0.953125,2.0,0.6666666666666667
S13,DynaMixEMATent,,,,,,,,,,3,64,44,0.6875,0,0.0,20,0.3125,0.6875,2,0.6002416014671326,0.9156975150108337,0.9156975150108337,0.31545591354370117,0.407974563048002,0.3173161824487479,0.2747092545032501,0.43750204234498924,73.6470752954483,0.19999999999999996,1.0,0.42730194330215454,0.2,0.0,1.0,21.0,0.328125,26.0,0.40625,17.0,0.265625,0.40625,3.0,0.3541666666666667
S13,DynaMixEMATent,,,,,,,,,,4,64,0,0.0,8,0.125,56,0.875,0.875,2,0.24334384500980377,0.47006258368492126,0.47006258368492126,0.2267187535762787,0.38197226345894086,0.4770089614355828,0.14101877510547636,0.555319426794405,103.73108065128326,0.19999999999999996,1.0,0.22095227241516113,0.2,0.0,1.0,0.0,0.0,56.0,0.875,8.0,0.125,0.875,2.0,0.5416666666666667
S13,DynaMixEMATent,,,,,,,,,,5,64,0,0.0,64,1.0,0,0.0,1.0,1,0.23273421823978424,0.6688774228096008,0.6688774228096008,0.4361432194709778,0.2544093467811544,0.5449274263759653,0.20066322684288024,0.6817244554178079,146.53923571109772,0.19999999999999996,1.0,0.42874863743782043,0.2,0.0,1.0,0.0,0.0,35.0,0.546875,29.0,0.453125,0.546875,2.0,0.6666666666666667
S13,DynaMixEMATent,,,,,,,,,,6,61,0,0.0,61,1.0,0,0.0,1.0,1,0.09001771360635757,0.484306663274765,0.484306663274765,0.39428895711898804,0.21596572577331416,0.6387422752442563,0.1452919989824295,0.7473222135323447,176.08194217085838,0.19999999999999996,1.0,0.49654099345207214,0.2,0.0,1.0,0.0,0.0,17.0,0.2786885245901639,44.0,0.7213114754098361,0.7213114754098361,2.0,0.6666666666666667
S14,EMATent,0.03347034379839897,0.03347034379839897,0.9946631193161011,0.0,0.48995889686048033,0.5,0.010041103139519692,0.0,0.0,0,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
