Subject,Method,batch_size,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_max_class_ratio,pred_num_present_classes,batch_index,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes,true_imbalance,dua_momentum,rotta_memory_occupancy,note_memory_occupancy,note_updated,note_loss,delta_loss,delta_used_samples
S4,TEMA,64,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,64.0,1.0,1.0,1,,,,,,,,
S4,TEMA,64,,,,,,,,,,,,,,,,,,,,,,1,31,0.484375,33.0,0.515625,0.515625,2,,,,,,,,
S4,TEMA,64,,,,,,,,,,,,,,,,,,,,,,2,23,0.359375,41.0,0.640625,0.640625,2,,,,,,,,
S4,TEMA,64,,,,,,,,,,,,,,,,,,,,,,3,38,0.59375,26.0,0.40625,0.59375,2,,,,,,,,
S4,TEMA,11,,,,,,,,,,,,,,,,,,,,,,4,0,0.0,11.0,1.0,1.0,1,,,,,,,,
S4,DUA,64,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,64.0,1.0,1.0,1,,0.099,,,,,,
S4,DUA,64,,,,,,,,,,,,,,,,,,,,,,1,31,0.484375,33.0,0.515625,0.515625,2,,0.09336,,,,,,
S4,DUA,64,,,,,,,,,,,,,,,,,,,,,,2,23,0.359375,41.0,0.640625,0.640625,2,,0.0880584,,,,,,
S4,DUA,64,,,,,,,,,,,,,,,,,,,,,,3,38,0.59375,26.0,0.40625,0.59375,2,,0.083074896,,,,,,
S4,DUA,11,,,,,,,,,,,,,,,,,,,,,,4,0,0.0,11.0,1.0,1.0,1,,0.07839040223999999,,,,,,
S4,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,64.0,1.0,1.0,1,,,60.0,,,,,
S4,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,1,31,0.484375,33.0,0.515625,0.515625,2,,,64.0,,,,,
S4,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,2,23,0.359375,41.0,0.640625,0.640625,2,,,64.0,,,,,
S4,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,3,38,0.59375,26.0,0.40625,0.59375,2,,,64.0,,,,,
S4,RoTTA,11,,,,,,,,,,,,,,,,,,,,,,4,0,0.0,11.0,1.0,1.0,1,,,64.0,,,,,
S4,NOTE,64,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,64.0,1.0,1.0,1,,,,64.0,1.0,0.5834318995475769,,
S4,NOTE,64,,,,,,,,,,,,,,,,,,,,,,1,31,0.484375,33.0,0.515625,0.515625,2,,,,64.0,1.0,0.5592032670974731,,
S4,NOTE,64,,,,,,,,,,,,,,,,,,,,,,2,23,0.359375,41.0,0.640625,0.640625,2,,,,64.0,1.0,0.5922672748565674,,
