Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes
S15,EMATent,0.8140707612037659,0.8140707612037659,0.9678797721862793,1,0.25577877163887025,0.5,0.24422122836112975,0.0,0.0,2,64,51,0.796875,13.0,0.203125,0.796875,2
S15,EMATent,0.8511741161346436,0.8511741161346436,0.9459974765777588,1,0.24464776515960696,0.5,0.25535223484039304,0.0,0.0,3,64,46,0.71875,18.0,0.28125,0.71875,2
S15,EMATent,0.8912452459335327,0.8912452459335327,0.9488184452056885,1,0.2326264262199402,0.5,0.2673735737800598,0.0,0.0,4,64,48,0.75,16.0,0.25,0.75,2
S15,EMATent,0.8611322641372681,0.8611322641372681,0.9397536516189575,1,0.2416603207588196,0.5,0.2583396792411804,0.0,0.0,5,64,49,0.765625,15.0,0.234375,0.765625,2
S15,EMATent,0.9692176580429077,0.9692176580429077,0.9694980382919312,1,0.2092347025871277,0.5,0.2907652974128723,0.0,0.0,6,64,52,0.8125,12.0,0.1875,0.8125,2
S15,EMATent,0.7682279348373413,0.7682279348373413,0.9439553618431091,1,0.2695316195487976,0.5,0.23046838045120238,0.0,0.0,7,64,50,0.78125,14.0,0.21875,0.78125,2
S15,EMATent,0.7985242009162903,0.7985242009162903,0.964276909828186,1,0.2604427397251129,0.5,0.23955726027488708,0.0,0.0,8,64,48,0.75,16.0,0.25,0.75,2
S15,EMATent,0.8495283126831055,0.8495283126831055,0.9709336757659912,1,0.24514150619506836,0.5,0.25485849380493164,0.0,0.0,9,30,25,0.8333333333333334,5.0,0.16666666666666666,0.8333333333333334,2
S16,EMATent,0.9889693856239319,0.9889693856239319,0.9990752935409546,1,0.20330918431282044,0.5,0.29669081568717953,0.0,0.0,0,64,52,0.8125,12.0,0.1875,0.8125,2
S16,EMATent,0.9849279522895813,0.9849279522895813,0.9939841032028198,1,0.20452161431312563,0.5,0.2954783856868744,0.0,0.0,1,64,46,0.71875,18.0,0.28125,0.71875,2
S16,EMATent,0.9826868772506714,0.9826868772506714,0.9527832865715027,1,0.20519393682479858,0.5,0.2948060631752014,0.0,0.0,2,64,53,0.828125,11.0,0.171875,0.828125,2
S16,EMATent,0.9872349500656128,0.9872349500656128,0.9570388793945312,1,0.20382951498031618,0.5,0.29617048501968385,0.0,0.0,3,64,51,0.796875,13.0,0.203125,0.796875,2
S16,EMATent,0.9995275735855103,0.9995275735855103,0.9569820165634155,1,0.20014172792434692,0.5,0.2998582720756531,0.0,0.0,4,64,47,0.734375,17.0,0.265625,0.734375,2
S16,EMATent,0.9706510901451111,0.9706510901451111,0.9765572547912598,1,0.20880467295646668,0.5,0.2911953270435333,0.0,0.0,5,64,52,0.8125,12.0,0.1875,0.8125,2
S16,EMATent,0.9930078983306885,0.9930078983306885,0.9794430732727051,1,0.20209763050079346,0.5,0.2979023694992065,0.0,0.0,6,64,45,0.703125,19.0,0.296875,0.703125,2
S16,EMATent,0.9832640290260315,0.9832640290260315,0.9578151702880859,1,0.20502079129219056,0.5,0.2949792087078094,0.0,0.0,7,64,49,0.765625,15.0,0.234375,0.765625,2
S16,EMATent,0.9726013541221619,0.9726013541221619,0.9733457565307617,1,0.20821959376335145,0.5,0.2917804062366485,0.0,0.0,8,64,53,0.828125,11.0,0.171875,0.828125,2
S16,EMATent,0.9660918712615967,0.9660918712615967,0.9792212843894958,1,0.21017243862152102,0.5,0.289827561378479,0.0,0.0,9,26,20,0.7692307692307693,6.0,0.23076923076923078,0.7692307692307693,2
S17,EMATent,0.5643256902694702,0.5643256902694702,0.9602731466293335,1,0.330702292919159,0.5,0.16929770708084105,0.0,0.0,0,64,52,0.8125,12.0,0.1875,0.8125,2
S17,EMATent,0.7142525315284729,0.7142525315284729,0.9872628450393677,1,0.2857242405414581,0.5,0.21427575945854185,0.0,0.0,1,64,52,0.8125,12.0,0.1875,0.8125,2
S17,EMATent,0.9067621231079102,0.9067621231079102,0.9763941168785095,1,0.22797136306762697,0.5,0.27202863693237306,0.0,0.0,2,64,44,0.6875,20.0,0.3125,0.6875,2
S17,EMATent,0.7898167371749878,0.7898167371749878,0.9764643907546997,1,0.2630549788475037,0.5,0.23694502115249633,0.0,0.0,3,64,50,0.78125,14.0,0.21875,0.78125,2
S17,EMATent,0.9369204640388489,0.9369204640388489,0.9680072665214539,1,0.21892386078834536,0.5,0.28107613921165464,0.0,0.0,4,64,44,0.6875,20.0,0.3125,0.6875,2
S17,EMATent,0.6945673227310181,0.6945673227310181,0.9858379364013672,1,0.2916298031806946,0.5,0.2083701968193054,0.0,0.0,5,64,53,0.828125,11.0,0.171875,0.828125,2
S17,EMATent,0.8110339641571045,0.8110339641571045,0.9717140793800354,1,0.2566898107528687,0.5,0.24331018924713133,0.0,0.0,6,64,51,0.796875,13.0,0.203125,0.796875,2
S17,EMATent,0.8987945914268494,0.8987945914268494,0.96548992395401,1,0.2303616225719452,0.5,0.2696383774280548,0.0,0.0,7,64,47,0.734375,17.0,0.265625,0.734375,2
S17,EMATent,0.9059600830078125,0.9059600830078125,0.9618803262710571,1,0.22821197509765626,0.5,0.2717880249023437,0.0,0.0,8,64,47,0.734375,17.0,0.265625,0.734375,2
S17,EMATent,0.9980753660202026,0.9980753660202026,0.9770926237106323,1,0.20057739019393922,0.5,0.2994226098060608,0.0,0.0,9,26,17,0.6538461538461539,9.0,0.34615384615384615,0.6538461538461539,2
S2,EMATent,0.008281408809125423,0.008281408809125423,0.9993061423301697,0,0.4975155773572624,0.5,0.002484422642737627,0.0,0.0,0,64,47,0.734375,17.0,0.265625,0.734375,2
S2,EMATent,0.09763531386852264,0.09763531386852264,0.9873902797698975,0,0.4707094058394432,0.5,0.029290594160556793,0.0,0.0,1,64,47,0.734375,17.0,0.265625,0.734375,2
S2,EMATent,0.2550017237663269,0.2550017237663269,0.9720956087112427,1,0.423499482870102,0.5,0.07650051712989807,0.0,0.0,2,64,50,0.78125,14.0,0.21875,0.78125,2
S2,EMATent,0.4423062801361084,0.4423062801361084,0.9391111135482788,1,0.36730811595916746,0.5,0.13269188404083251,0.0,0.0,3,64,48,0.75,16.0,0.25,0.75,2
S2,EMATent,0.2975304424762726,0.2975304424762726,0.9576877951622009,1,0.4107408672571182,0.5,0.08925913274288177,0.0,0.0,4,64,54,0.84375,10.0,0.15625,0.84375,2
S2,EMATent,0.362083375453949,0.362083375453949,0.9366454482078552,1,0.3913749873638153,0.5,0.1086250126361847,0.0,0.0,5,64,50,0.78125,14.0,0.21875,0.78125,2
S2,EMATent,0.35685673356056213,0.35685673356056213,0.957024335861206,1,0.39294297993183136,0.5,0.10705702006816864,0.0,0.0,6,64,53,0.828125,11.0,0.171875,0.828125,2
S2,EMATent,0.4361545443534851,0.4361545443534851,0.9525588750839233,1,0.3691536366939545,0.5,0.13084636330604552,0.0,0.0,7,64,52,0.8125,12.0,0.1875,0.8125,2
S2,EMATent,0.5686317682266235,0.5686317682266235,0.9364114999771118,1,0.3294104695320129,0.5,0.17058953046798705,0.0,0.0,8,64,52,0.8125,12.0,0.1875,0.8125,2
S2,EMATent,0.003029012121260166,0.003029012121260166,0.9997767806053162,0,0.49909129636362193,0.5,0.0009087036363780498,0.0,0.0,9,2,2,1.0,,,1.0,1
S3,EMATent,0.09262663125991821,0.09262663125991821,0.9932811260223389,0,0.47221201062202456,0.5,0.027787989377975462,0.0,0.0,0,64,55,0.859375,9.0,0.140625,0.859375,2
S3,EMATent,0.2927207946777344,0.2927207946777344,0.9789643883705139,1,0.4121837615966797,0.5,0.08781623840332031,0.0,0.0,1,64,51,0.796875,13.0,0.203125,0.796875,2
S3,EMATent,0.4373762607574463,0.4373762607574463,0.9683438539505005,1,0.3687871217727661,0.5,0.13121287822723388,0.0,0.0,2,64,49,0.765625,15.0,0.234375,0.765625,2
S3,EMATent,0.8750170469284058,0.8750170469284058,0.9712517261505127,1,0.23749488592147827,0.5,0.26250511407852173,0.0,0.0,3,64,47,0.734375,17.0,0.265625,0.734375,2
S3,EMATent,0.6605316400527954,0.6605316400527954,0.9785772562026978,1,0.3018405079841614,0.5,0.19815949201583863,0.0,0.0,4,64,50,0.78125,14.0,0.21875,0.78125,2
S3,EMATent,0.8685691356658936,0.8685691356658936,0.9679275155067444,1,0.23942925930023196,0.5,0.26057074069976804,0.0,0.0,5,64,45,0.703125,19.0,0.296875,0.703125,2
S3,EMATent,0.6541078090667725,0.6541078090667725,0.9696736931800842,1,0.30376765727996824,0.5,0.19623234272003173,0.0,0.0,6,64,48,0.75,16.0,0.25,0.75,2
