Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes,g_mi,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_class_2_count,pred_class_2_ratio,pred_max_class_ratio,pred_num_present_classes,true_imbalance
S14,EMATent,0.5234255790710449,0.5234255790710449,0.8450758457183838,1.0,0.34297232627868657,0.5,0.15702767372131346,0.0,0.0,4,64,0,0.0,64,1.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,
S14,EMATent,0.6205260157585144,0.6205260157585144,0.8112057447433472,1.0,0.31384219527244567,0.5,0.1861578047275543,0.0,0.0,5,64,0,0.0,51,0.796875,13,0.203125,0.796875,2,,,,,,,,,,,,,,,,,,,,,,,
S14,EMATent,0.3209274113178253,0.3209274113178253,0.8929850459098816,1.0,0.4037217766046524,0.5,0.0962782233953476,0.0,0.0,6,61,0,0.0,0,0.0,61,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,
S14,MIDynamicEMATent,,,,,,,,,,0,64,64,1.0,0,0.0,0,0.0,1.0,1,0.0035747261717915535,0.03347034379839897,0.029895618557929993,0.9984813202884308,0.0004462618600316611,0.001072417851537466,0.0004467409530046762,0.22878247499465942,0.0007149452343583106,0.0,0.04648382216691971,0.05,1.0,1.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666667
S14,MIDynamicEMATent,,,,,,,,,,1,64,64,1.0,0,0.0,0,0.0,1.0,1,0.12192238867282867,0.548827052116394,0.4269046485424042,0.9484278533067957,0.014995430091355698,0.0365767166018486,0.01556473706807704,8.031815350055695,0.02438447773456573,1.0,0.5068817138671875,0.05,1.0,1.0,60.0,0.9375,2.0,0.03125,2.0,0.03125,0.9375,3.0,0.6666666666666667
S14,MIDynamicEMATent,,,,,,,,,,2,64,64,1.0,0,0.0,0,0.0,1.0,1,0.14382348954677582,0.7977874875068665,0.6539639830589294,0.9251766110132977,0.0316763421226696,0.04314704686403274,0.033104712713541096,17.236518681049347,0.028764697909355156,1.0,0.7035742998123169,0.05,1.0,1.0,51.0,0.796875,9.0,0.140625,4.0,0.0625,0.796875,3.0,0.6666666666666667
S14,MIDynamicEMATent,,,,,,,,,,3,64,44,0.6875,20,0.3125,0,0.0,0.6875,2,0.35560137033462524,0.9879802465438843,0.632378876209259,0.82619361957524,0.06712596932437237,0.10668041110038758,0.0751421665420523,39.99500638246536,0.07112027406692503,1.0,0.6297103762626648,0.05,1.0,1.0,35.0,0.546875,19.0,0.296875,10.0,0.15625,0.546875,3.0,0.3541666666666667
S14,MIDynamicEMATent,,,,,,,,,,4,64,0,0.0,64,1.0,0,0.0,1.0,1,0.23532214760780334,0.636608898639679,0.4012867212295532,0.8346498636843304,0.09475349203332857,0.070596644282341,0.10195088219814163,55.05562382936478,0.04706442952156066,1.0,0.4593965709209442,0.05,1.0,1.0,0.0,0.0,33.0,0.515625,31.0,0.484375,0.515625,2.0,0.6666666666666667
S14,MIDynamicEMATent,,,,,,,,,,5,64,0,0.0,51,0.796875,13,0.203125,0.796875,2,0.21078144013881683,0.6572608947753906,0.446479469537735,0.8193856575375242,0.11737991042083076,0.06323443204164504,0.12530339973602556,68.54563599824905,0.042156288027763354,1.0,0.5167320966720581,0.05,1.0,1.0,0.0,0.0,36.0,0.5625,28.0,0.4375,0.5625,2.0,0.4635416666666667
S14,MIDynamicEMATent,,,,,,,,,,6,61,0,0.0,0,0.0,61,1.0,1.0,1,0.08237653970718384,0.4506106972694397,0.36823415756225586,0.8447487433343894,0.13053829475345544,0.024712961912155152,0.13384602650865718,73.57060492038727,0.016475307941436763,1.0,0.46671169996261597,0.05,1.0,1.0,0.0,0.0,57.0,0.9344262295081968,4.0,0.06557377049180328,0.9344262295081968,2.0,0.6666666666666667
S15,EMATent,0.1083436831831932,0.1083436831831932,0.9782970547676086,0.0,0.46749689504504205,0.5,0.03250310495495796,0.0,0.0,0,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,
S15,EMATent,0.36075615882873535,0.36075615882873535,0.9028865694999695,1.0,0.39177315235137944,0.5,0.1082268476486206,0.0,0.0,1,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,
S15,EMATent,0.7783912420272827,0.7783912420272827,0.714208722114563,1.0,0.26648262739181516,0.5,0.2335173726081848,0.0,0.0,2,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,
S15,EMATent,0.8078107833862305,0.8078107833862305,0.694603681564331,1.0,0.25765676498413087,0.5,0.24234323501586913,0.0,0.0,3,64,43,0.671875,0,0.0,21,0.328125,0.671875,2,,,,,,,,,,,,,,,,,,,,,,,
