target,feature,pearson_r,pearson_p,spearman_r,spearman_p
EMATent_gain_vs_best_baseline,OFTTA_gain_vs_source,-0.12187968033373708,0.5211358334597626,-0.20489432703003335,0.2774166832456208
EMATent_gain_vs_best_baseline,Norm_gain_vs_source,-0.2068901010827971,0.272661173747279,-0.2649610678531702,0.15706185937176098
EMATent_gain_vs_best_baseline,Tent_gain_vs_source,-0.20661047408600625,0.2733242702205833,-0.2649610678531702,0.15706185937176098
EMATent_gain_vs_source,OFTTA_gain_vs_source,0.8332125172383991,1.1036322510643372e-08,0.8482758620689654,3.2356884704942785e-09
EMATent_gain_vs_source,Norm_gain_vs_source,0.7970089512087307,1.3596541715681377e-07,0.8331479421579533,1.1091605619589024e-08
EMATent_gain_vs_source,Tent_gain_vs_source,0.7968627617202392,1.372091158608992e-07,0.8331479421579533,1.1091605619589024e-08
EMATent_gain_vs_source,full_single_class_batches,0.16925012152564117,0.37126553897861797,0.12351131643867984,0.5155301937530121
EMATent_gain_vs_source,num_batches,0.12663201640478888,0.5048917990657364,0.07184380603891091,0.7059712952759704
EMATent_gain_vs_source,num_windows,0.18080754304362157,0.3389937989862746,0.046723773790070276,0.8063201020071268
EMATent_gain_vs_source,single_class_batches,0.01400280513315729,0.9414551886217503,0.01942918792780703,0.9188316190197523
EMATent_gain_vs_source,std_majority_ratio,0.028000696044650435,0.8832283976287735,0.007341490545050056,0.9692867983901741
EMATent_gain_vs_source,batch_label1_drift,0.035905343481033004,0.8505900051719155,0.002002447448145869,0.9916209293531627
EMATent_gain_vs_source,default_ema_mean_confidence,-0.026767456607630538,0.8883387829501331,-0.026028921023359287,0.8914012942214922
EMATent_gain_vs_source,best_ema_mean_raw_gate,-0.053323220560704224,0.7795909641954937,-0.06918798665183537,0.7163871282771047
EMATent_gain_vs_source,best_ema_mean_effective_batch_weight,-0.05332322056070422,0.7795909641954937,-0.06918798665183537,0.7163871282771047
EMATent_gain_vs_source,max_majority_ratio,-0.11329618639173752,0.55110494751101,-0.08242259249739761,0.6650129487070492
EMATent_gain_vs_source,default_ema_mean_raw_gate,-0.0572470342275039,0.7638126236698725,-0.11056729699666296,0.5607976285032431
EMATent_gain_vs_source,default_ema_mean_effective_batch_weight,-0.05724703422750403,0.7638126236698725,-0.11056729699666296,0.5607976285032431
EMATent_gain_vs_source,mean_majority_ratio,-0.17680946657476243,0.34995938638580526,-0.1686505739660632,0.3729872701207433
EMATent_gain_vs_source,mean_abs_batch_label1_change,-0.19550234459065727,0.30050853911695663,-0.22491657397107895,0.23210347272670986
EMATent_gain_vs_source,Source_MacroF1,-0.7059303397289267,1.3119114439077237e-05,-0.710789766407119,1.0746171866434692e-05
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,full_single_class_batches,0.24728634569170713,0.18768383582402473,0.27790046198702956,0.13703745780734364
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,num_windows,0.2505785241467357,0.18168644715243876,0.25075091934004384,0.1813761416619743
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,num_batches,0.13697009243347727,0.4704477610653154,0.24210378473386412,0.1974024101960576
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,std_majority_ratio,0.15067989211860536,0.42673416652960083,0.18887652947719688,0.3175063206648825
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,OFTTA_gain_vs_source,0.3042615286020598,0.10210795589170592,0.14972191323692993,0.4297138327197075
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,best_ema_mean_raw_gate,0.04238006435516849,0.8240324924048019,0.13192436040044492,0.4871037987394363
