target,feature,pearson_r,pearson_p,spearman_r,spearman_p
EmaTentCaseS00E50B50M070_gain_vs_source,Norm_gain_vs_source,0.6093230574135068,0.0003517111987422179,0.6311457174638487,0.00018427747199728912
EmaTentCaseS00E50B50M070_gain_vs_source,OFTTA_gain_vs_source,0.5389245905095249,0.0021207529518067676,0.567964404894327,0.0010607122456729077
EmaTentCaseS00E50B50M070_gain_vs_source,num_windows,0.3406861807000745,0.06543476003702235,0.33574368880579075,0.06969831960462029
EmaTentCaseS00E50B50M070_gain_vs_source,num_batches,0.3029097530483647,0.10371727781008369,0.31197926731965425,0.09327722793700363
EmaTentCaseS00E50B50M070_gain_vs_source,mean_abs_batch_label1_change,0.1985459547312645,0.2928964948483353,0.29343715239154616,0.11553371014324494
EmaTentCaseS00E50B50M070_gain_vs_source,max_majority_ratio,0.27202198120808474,0.14589026591423604,0.2551092212340243,0.17365447866823505
EmaTentCaseS00E50B50M070_gain_vs_source,mean_majority_ratio,0.20959685639130768,0.26629628230739577,0.21314940614708253,0.2580903717148775
EmaTentCaseS00E50B50M070_gain_vs_source,single_class_batches,0.18417519681957017,0.3299209645260012,0.20108878677876965,0.28663157700132386
EmaTentCaseS00E50B50M070_gain_vs_source,std_majority_ratio,0.20088538669155845,0.2871295332360272,0.13548387096774192,0.4753226725916998
EmaTentCaseS00E50B50M070_gain_vs_source,default_ema_mean_raw_gate,0.05492253422136194,0.773149089379576,0.09855394883203561,0.604367932284345
EmaTentCaseS00E50B50M070_gain_vs_source,default_ema_mean_effective_batch_weight,0.054922534221361834,0.7731490893795769,0.09855394883203561,0.604367932284345
EmaTentCaseS00E50B50M070_gain_vs_source,best_ema_mean_raw_gate,0.08350818143165946,0.6608604340808799,0.08387096774193549,0.6594749201050074
EmaTentCaseS00E50B50M070_gain_vs_source,best_ema_mean_effective_batch_weight,0.0835081814316594,0.6608604340808799,0.08387096774193549,0.6594749201050074
EmaTentCaseS00E50B50M070_gain_vs_source,batch_label1_drift,0.07927614462737251,0.6771031375223946,0.08255451917778618,0.6645077905789807
EmaTentCaseS00E50B50M070_gain_vs_source,full_single_class_batches,0.0011541807452176804,0.9951703730221255,0.019255709562623336,0.9195540143117282
EmaTentCaseS00E50B50M070_gain_vs_source,default_ema_mean_confidence,-0.26322446845523134,0.1599008853369332,-0.2053392658509455,0.27635189180534453
EmaTentCaseS00E50B50M070_gain_vs_source,Source_MacroF1,-0.626830682256809,0.00021020812147957526,-0.6422691879866518,0.0001300345686611835
