Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_MacroF1,DynaMixEMATent_Acc,DynaMixEMATent_F1_0,DynaMixEMATent_F1_1,DynaMixEMATent_MacroF1
S13,0.6606498194945848,0.7329545454545454,0.5346534653465347,0.63380400540054,0.7472924187725631,0.7697368421052632,0.72,0.7448684210526315,0.7509025270758123,0.8140161725067385,0.6229508196721312,0.7184834960894348,0.6823104693140795,0.7471264367816092,0.5728155339805825,0.6599709853810958,0.6498194945848376,0.717201166180758,0.5402843601895735,0.6287427631851658
S14,0.47950819672131145,0.3804878048780488,0.5512367491166078,0.4658622769973283,0.46311475409836067,0.5467128027681661,0.3417085427135678,0.444210672740867,0.6967213114754098,0.7944444444444444,0.421875,0.6081597222222221,0.5778688524590164,0.6308243727598566,0.507177033492823,0.5690007031263398,0.5983606557377049,0.6573426573426573,0.5148514851485149,0.5860970712455861
S15,0.54375,0.5705882352941176,0.5133333333333333,0.5419607843137255,0.609375,0.6334310850439883,0.5819397993311036,0.6076854421875459,0.546875,0.6233766233766234,0.43137254901960786,0.5273745861981156,0.625,0.6363636363636364,0.6129032258064516,0.624633431085044,0.5875,0.6432432432432432,0.5111111111111111,0.5771771771771772
S16,0.5294117647058824,0.0,0.6923076923076923,0.34615384615384615,0.6063348416289592,0.5876777251184834,0.6233766233766234,0.6055271742475534,0.6380090497737556,0.6610169491525424,0.6116504854368932,0.6363337172947178,0.5746606334841629,0.4268292682926829,0.6618705035971223,0.5443498859449026,0.6108597285067874,0.5520833333333334,0.656,0.6040416666666667
S17,0.4755244755244755,0.0,0.6445497630331753,0.3222748815165877,0.5314685314685315,0.5314685314685315,0.5314685314685315,0.5314685314685315,0.7027972027972028,0.7335423197492164,0.6640316205533597,0.6987869701512881,0.44755244755244755,0.5240963855421686,0.3416666666666667,0.43288152610441766,0.33916083916083917,0.10426540284360189,0.47645429362880887,0.29035984823620536
S18,0.615686274509804,0.4731182795698925,0.6975308641975309,0.5853245718837117,0.6941176470588235,0.7045454545454546,0.6829268292682927,0.6937361419068737,0.7450980392156863,0.749034749034749,0.7410358565737052,0.7450353028042271,0.5607843137254902,0.37777777777777777,0.6606060606060606,0.5191919191919192,0.5411764705882353,0.4,0.6285714285714286,0.5142857142857142
S19,0.6915422885572139,0.3404255319148936,0.7987012987012987,0.5695634153080962,0.5124378109452736,0.4367816091954023,0.5701754385964912,0.5034785238959467,0.4975124378109453,0.4975124378109453,0.4975124378109453,0.4975124378109453,0.7064676616915423,0.42718446601941745,0.802675585284281,0.6149300256518492,0.6965174129353234,0.39603960396039606,0.7973421926910299,0.596690898325713
S20,0.4204946996466431,0.59,0.012048192771084338,0.3010240963855422,0.4628975265017668,0.43283582089552236,0.4899328859060403,0.4613843534007813,0.38515901060070673,0.37410071942446044,0.3958333333333333,0.3849670263788969,0.5936395759717314,0.5878136200716846,0.5993031358885017,0.5935583779800931,0.6148409893992933,0.5886792452830188,0.6378737541528239,0.6132764997179214
S21,0.4618055555555556,0.630071599045346,0.012738853503184714,0.3214052262742654,0.53125,0.4827586206896552,0.5714285714285714,0.5270935960591133,0.53125,0.5686900958466453,0.4866920152091255,0.5276910555278854,0.4444444444444444,0.22330097087378642,0.5675675675675675,0.395434269220677,0.4409722222222222,0.19900497512437812,0.5706666666666667,0.3848358208955224
S22,0.456,0.6263736263736264,0.0,0.3131868131868132,0.664,0.6037735849056604,0.7083333333333334,0.6560534591194969,0.544,0.6274509803921569,0.41237113402061853,0.5199110572063876,0.528,0.5785714285714286,0.4636363636363636,0.5211038961038961,0.572,0.5900383141762452,0.5523012552301255,0.5711697847031854
